Station Code, RoadNo, Lat, Lon
UBL,R7,15.351102,75.149187
UBL,R7,15.351108,75.149178
UBL,R7,15.351114,75.149169
UBL,R7,15.35112,75.149159
UBL,R7,15.351127,75.14915
UBL,R7,15.351133,75.14914
UBL,R7,15.351138,75.14913
UBL,R7,15.351144,75.149119
UBL,R7,15.35115,75.149109
UBL,R7,15.351156,75.149099
UBL,R7,15.351162,75.149089
UBL,R7,15.351167,75.149079
UBL,R7,15.351171,75.149069
UBL,R7,15.351176,75.14906
UBL,R7,15.35118,75.149051
UBL,R7,15.351185,75.149044
UBL,R7,15.351188,75.149038
UBL,R7,15.351192,75.149033
UBL,R7,15.351197,75.149027
UBL,R7,15.351201,75.149019
UBL,R7,15.351207,75.14901
UBL,R7,15.351209,75.149001
UBL,R7,15.351211,75.148991
UBL,R7,15.351215,75.148981
UBL,R7,15.351221,75.148971
UBL,R7,15.351228,75.148961
UBL,R7,15.351234,75.148952
UBL,R7,15.351242,75.148943
UBL,R7,15.351248,75.148935
UBL,R7,15.351255,75.148925
UBL,R7,15.351262,75.148916
UBL,R7,15.351268,75.148907
UBL,R7,15.351272,75.1489
UBL,R7,15.351277,75.148893
UBL,R7,15.351281,75.148886
UBL,R7,15.351285,75.14888
UBL,R7,15.351289,75.148873
UBL,R7,15.351294,75.148868
UBL,R7,15.351299,75.148863
UBL,R7,15.351303,75.148858
UBL,R7,15.351308,75.148853
UBL,R7,15.351312,75.148848
UBL,R7,15.351316,75.148842
UBL,R7,15.35132,75.148837
UBL,R7,15.351324,75.148832
UBL,R7,15.351328,75.148826
UBL,R7,15.351332,75.14882
UBL,R7,15.351336,75.148815
UBL,R7,15.35134,75.14881
UBL,R7,15.351342,75.148805
UBL,R7,15.351346,75.148801
UBL,R7,15.351349,75.148796
UBL,R7,15.351353,75.148791
UBL,R7,15.351357,75.148785
UBL,R7,15.35136,75.14878
UBL,R7,15.351364,75.148774
UBL,R7,15.351367,75.148769
UBL,R7,15.351371,75.148764
UBL,R7,15.351374,75.148759
UBL,R7,15.351378,75.148754
UBL,R7,15.351381,75.148749
UBL,R7,15.351384,75.148744
UBL,R7,15.351388,75.148739
UBL,R7,15.351392,75.148735
UBL,R7,15.351394,75.148731
UBL,R7,15.351397,75.148727
UBL,R7,15.351399,75.148723
UBL,R7,15.351402,75.148718
UBL,R7,15.351405,75.148715
UBL,R7,15.351408,75.148712
UBL,R7,15.35141,75.148708
UBL,R7,15.351412,75.148705
UBL,R7,15.351413,75.148703
UBL,R7,15.351415,75.1487
UBL,R7,15.351416,75.148698
UBL,R7,15.351416,75.148697
UBL,R7,15.351415,75.148697
UBL,R7,15.351415,75.148698
UBL,R7,15.351415,75.148699
UBL,R7,15.351415,75.148701
UBL,R7,15.351415,75.148702
UBL,R7,15.351416,75.148702
UBL,R7,15.351416,75.148703
UBL,R7,15.351417,75.148703
UBL,R7,15.351418,75.148702
UBL,R7,15.351418,75.148703
UBL,R7,15.351419,75.148703
UBL,R7,15.351419,75.148702
UBL,R7,15.35142,75.148702
UBL,R7,15.35142,75.148701
UBL,R7,15.35142,75.1487
UBL,R7,15.351421,75.1487
UBL,R7,15.351421,75.148699
UBL,R7,15.351421,75.148698
UBL,R7,15.351421,75.148697
UBL,R7,15.351422,75.148696
UBL,R7,15.351422,75.148695
UBL,R7,15.351422,75.148694
UBL,R7,15.351422,75.148693
UBL,R7,15.351422,75.148692
UBL,R7,15.351421,75.148691
UBL,R7,15.351421,75.14869
UBL,R7,15.351421,75.148689
UBL,R7,15.351421,75.148688
UBL,R7,15.351421,75.148687
UBL,R7,15.351421,75.148686
UBL,R7,15.351421,75.148685
UBL,R7,15.351421,75.148684
UBL,R7,15.351421,75.148683
UBL,R7,15.351421,75.148682
UBL,R7,15.351422,75.148681
UBL,R7,15.351421,75.148681
UBL,R7,15.351421,75.14868
UBL,R7,15.35142,75.148681
UBL,R7,15.351419,75.148681
UBL,R7,15.351418,75.148682
UBL,R7,15.351418,75.148683
UBL,R7,15.351417,75.148684
UBL,R7,15.351416,75.148685
UBL,R7,15.351415,75.148686
UBL,R7,15.351414,75.148687
UBL,R7,15.351414,75.148688
UBL,R7,15.351413,75.148688
UBL,R7,15.351413,75.148689
UBL,R7,15.351412,75.148689
UBL,R7,15.351411,75.148689
UBL,R7,15.351411,75.14869
UBL,R7,15.35141,75.14869
UBL,R7,15.351409,75.14869
UBL,R7,15.351408,75.148691
UBL,R7,15.351407,75.148691
UBL,R7,15.351406,75.148691
UBL,R7,15.351406,75.148692
UBL,R7,15.351406,75.148693
UBL,R7,15.351406,75.148694
UBL,R7,15.351405,75.148695
UBL,R7,15.351406,75.148696
UBL,R7,15.351406,75.148697
UBL,R7,15.351407,75.148697
UBL,R7,15.351408,75.148698
UBL,R7,15.351408,75.148699
UBL,R7,15.351409,75.148699
UBL,R7,15.351409,75.1487
UBL,R7,15.351409,75.148701
UBL,R7,15.35141,75.148702
UBL,R7,15.35141,75.148703
UBL,R7,15.35141,75.148704
UBL,R7,15.35141,75.148705
UBL,R7,15.351411,75.148705
UBL,R7,15.351413,75.148705
UBL,R7,15.351413,75.148704
UBL,R7,15.351414,75.148704
UBL,R7,15.351415,75.148704
UBL,R7,15.351421,75.148702
UBL,R7,15.351421,75.148701
UBL,R7,15.351422,75.148701
UBL,R7,15.351422,75.1487
UBL,R7,15.351423,75.1487
UBL,R7,15.351423,75.148699
UBL,R7,15.351423,75.148698
UBL,R7,15.351424,75.148698
UBL,R7,15.351424,75.148697
UBL,R7,15.351425,75.148697
UBL,R7,15.351425,75.148696
UBL,R7,15.351425,75.148695
UBL,R7,15.351425,75.148694
UBL,R7,15.351426,75.148693
UBL,R7,15.351426,75.148692
UBL,R7,15.351427,75.148692
UBL,R7,15.351427,75.148691
UBL,R7,15.351427,75.14869
UBL,R7,15.351428,75.14869
UBL,R7,15.351429,75.14869
UBL,R7,15.35143,75.14869
UBL,R7,15.351431,75.14869
UBL,R7,15.351432,75.14869
UBL,R7,15.351432,75.148689
